Youth in Revolt,Comedy,52,2010,0
You Will Meet a Tall Dark Stranger,Comedy,35,2010,0
When in Rome,Comedy,44,2010,0
What Happens in Vegas,Comedy,72,2008,0
Water For Elephants,Drama,72,2011,0
WALL-E,Animation,89,2008,0
Waitress,Romance,67,2007,0
Waiting For Forever,Romance,53,2011,0
Valentine''s Day,Comedy,54,2010,0
Tyler Perry''s Why Did I get Married,Romance,47,2007,0
Twilight: Breaking Dawn,Romance,68,2011,0
Twilight,Romance,82,2008,0
The Ugly Truth,Comedy,68,2009,0
The Twilight Saga: New Moon,Drama,78,2009,0
The Time Traveler''s Wife,Drama,65,2009,0
The Proposal,Comedy,74,2009,0
The Invention of Lying,Comedy,47,2009,0
The Heartbreak Kid,Comedy,41,2007,0
The Duchess,Drama,68,2008,0
The Curious Case of Benjamin Button,Fantasy,81,2008,0
The Back-up Plan,Comedy,47,2010,0
Tangled,Animation,88,2010,0
Something Borrowed,Romance,48,2011,0
She''s Out of My League,Comedy,60,2010,0
Sex and the City 2,Comedy,49,2010,0
Sex and the City,Comedy,81,2008,0
Remember Me,Drama,70,2010,0
Rachel Getting Married,Drama,61,2008,0
Penelope,Comedy,74,2008,0
P.S. I Love You,Romance,82,2007,0
Over Her Dead Body,Comedy,47,2008,0
Our Family Wedding,Comedy,49,2010,0
One Day,Romance,54,2011,0
Not Easily Broken,Drama,66,2009,0
No Reservations,Comedy,64,2007,0
Nick and Norah''s Infinite Playlist,Comedy,67,2008,0
New Year''s Eve,Romance,48,2011,0
My Week with Marilyn,Drama,84,2011,0
Music and Lyrics,Romance,70,2007,0
Monte Carlo,Romance,50,2011,0
Miss Pettigrew Lives for a Day,Comedy,70,2008,0
Midnight in Paris,Romence,84,2011,0
Marley and Me,Comedy,77,2008,0
Mamma Mia!,Comedy,76,2008,0
Made of Honor,Comdy,61,2008,0
Love Happens,Drama,40,2009,0
Love & Other Drugs,Comedy,55,2010,0
Life as We Know It,Comedy,62,2010,0
License to Wed,Comedy,55,2007,0
Letters to Juliet,Comedy,62,2010,0
Leap Year,Comedy,49,2010,0
Knocked Up,Comedy,83,2007,0
Killers,Action,45,2010,0
Just Wright,Comedy,58,2010,0
Jane Eyre,Romance,77,2011,0
It''s Complicated,Comedy,63,2009,0
I Love You Phillip Morris,Comedy,57,2010,0
High School Musical 3: Senior Year,Comedy,76,2008,0
He''s Just Not That Into You,Comedy,60,2009,0
Good Luck Chuck,Comedy,61,2007,0
Going the Distance,Comedy,56,2010,0
Gnomeo and Juliet,Animation,52,2011,0
Ghosts of Girlfriends Past,Comedy,47,2009,0
Four Christmases,Comedy,52,2008,0
Fireproof,Drama,51,2008,0
Enchanted,Comedy,80,2007,0
Dear John,Drama,66,2010,0
Beginners,Comedy,80,2011,0
Across the Universe,Romance,84,2007,0
A Serious Man,Drama,64,2009,0
A Dangerous Method,Drama,89,2011,0
27 Dresses,Comedy,71,2008,0
(500) Days of Summer,Comedy,81,2009,0